Name,Phone,Email,Join Date,Amount,Address,Zip,Note
Lee James,010-1247-3662,5s0k7@gmail.com,2024. 1. 11,23.5731만원,부산,50307,---
 Lee James ,010-1845-9104,3pniq5@hanmail.net,2022-06-28,약 821천원,Jeju,962,NULL
N/A123,01053370113,63sp18@,2024. 4. 17,741671,서울,6096,NULL
Unknown,Phone: 7918-9210,ti4eim@gmail.com,2021-10-19,61.6645만원,서울,90242,---
 김철수 ,010 2021 6123,dre4zc@com,11/18/2024,약 518천원,Gwangju,23376,NULL
김철수!!,01051219769,tffb1v,10/24/2022,870072,Gwangju,120,Note
Unknown,+82 10-6284-3639,uc8nup@@naver.com,1/21/2020,808054,Gwangju,17735,Note
홍길동123,010-1298-5992,yh4qqm,3/6/2021,약 746천원,Daejeon,76227,Note
박 민수123,010 0887 5198,pm2n03@@com,2020-10-13,623,940원,대구,85885,NULL
박 민수,01031291915,8kjxa8@,2022. 10. 15,713,355원,서울,84695,---
홍길동,01015580055,s81jnj@com,11/3/2021,약 523천원,서울,30457,NULL
Lee James,Phone: 8209-2557,epfh4@hanmail.net,2022. 6. 28,709117,Sejong,45,---
최.영.희123,+82 10-9449-5038,8nuao,2022-06-17,595208,Incheon,42930,---
박 민수,01073513127,b9o4uf7u,2023. 6. 22,601951,Gwangju,718,NULL
김철수,+82 10-9514-8963,0ixuoa,9/19/2022,73.0823만원,부산,61401,Note
 김철수 ,Phone: 4092-4752,jbf1hr@naver.com,2022. 8. 10,254479,Sejong,785,---
 박 민수 ,+82 10-2725-7191,chg1uj,12/21/2023,527,285원,Gwangju,302,---
 N/A ,+82 10-8530-2715,h5b5nj,5/19/2022,79581,대구,25477,---
N/A,Phone: 8215-8295,ddd0k5u@naver.com,7/10/2024,97.2142만원,Incheon,544,NULL
박 민수,Phone: 5565-1174,vq24zb@gmail.com,2020. 6. 14,270,057원,부산,65211,NULL
홍길동123,Phone: 4717-2074,yks56g@gmail.com,2020-10-04,약 510천원,Incheon,428,Note
 최.영.희 ,010 9856 4152,uik45h@hanmail.net,3/20/2021,334756,Jeju,18,Note
Unknown123,010 7505 7260,ovs298@hanmail.net,1/9/2021,423,563원,Jeju,10362,Note
Lee James,010-7269-9540,3d0bdi@hanmail.net,2022. 8. 12,39.0595만원,Sejong,89334,Note
홍길동123,010-6495-6466,kd5ops,6/2/2021,약 578천원,Gwangju,6120,---
N/A!!,Phone: 6901-4322,7qlek8@,2024. 10. 17,약 890천원,Incheon,80268,---
홍길동,+82 10-8314-2612,un4kbn@com,3/17/2024,423354,서울,71588,NULL
김철수123,010-1136-2442,roizh@@gmail.com,2021. 1. 18,957,456원,Gwangju,66965,---
박 민수,Phone: 7107-8464,e9iis,2022. 12. 13,약 808천원,Incheon,642,NULL
홍길동123,010-2678-2762,1qo3u@,11/18/2020,약 870천원,대구,335,---
김철수!!,010 1989 2307,03us5d@naver.com,11/6/2024,약 592천원,서울,163,Note
최.영.희,010-0688-9425,akmf0c@com,4/16/2022,276,213원,대구,92822,Note
Unknown,Phone: 0815-5229,yfff2,2022. 6. 6,388106,Incheon,139,Note
최.영.희,+82 10-7015-6898,0so0j,5/18/2022,210,010원,Gwangju,985,---
최.영.희,+82 10-0501-6228,xrsav,2021. 11. 16,64.219만원,부산,745,Note
 박 민수 ,010 2994 2742,cq1azf@,2024-08-22,43.5708만원,대구,252,---
박 민수!!,+82 10-6693-4414,c4bmfp,2024-11-26,303518,Jeju,57626,Note
Lee James,010-5695-0227,p4y9r9@naver.com,9/22/2021,856209,Jeju,433,Note
홍길동123,+82 10-3721-6878,8lb3cd@hanmail.net,2020. 10. 12,약 412천원,Daejeon,654,NULL
 최.영.희 ,010-4237-8287,4q18u@,8/18/2020,약 626천원,부산,74112,Note
 Lee James ,01043013421,3t32qd@hanmail.net,2024-08-11,약 702천원,부산,6096,Note
홍길동,010 4578 8341,c6mqcf@naver.com,10/13/2023,496180,Sejong,525,NULL
 Lee James ,010 6118 5500,3u2qds@@,2020-06-21,298,564원,Daejeon,423,Note
Lee James,010-2923-6935,2f1ij,6/3/2020,383992,서울,78967,Note
김철수,+82 10-7014-6683,tikoaa@hanmail.net,2020. 11. 11,약 669천원,Daejeon,542,NULL
김철수,010-9613-7756,ggoeqn@,11/6/2021,133186,Incheon,48466,---
N/A,Phone: 4110-7753,nhmteo@,9/7/2021,612,897원,Daejeon,3459,---
 Lee James ,Phone: 0422-0416,jqxxxr@gmail.com,8/6/2024,약 200천원,부산,30374,NULL
Unknown,+82 10-6586-1051,tq49j9@@naver.com,2020. 10. 20,569640,Jeju,29591,---
 N/A ,010-6380-6789,cs64p9@gmail.com,8/23/2022,약 560천원,Jeju,690,Note
Lee James,010-2552-0029,01l99@,3/16/2023,306,783원,Gwangju,115,Note
N/A123,+82 10-3142-9750,6z58m6@com,1/22/2024,827,856원,대구,1927,Note
 최.영.희 ,010 5488 4506,23u8xv@@naver.com,4/3/2022,491654,Sejong,127,---
Lee James,010-7665-6951,510g8@hanmail.net,2024-04-02,574,055원,대구,26271,Note
 N/A ,Phone: 5493-4072,8qymq4@,5/28/2022,약 237천원,대구,37124,NULL
N/A,Phone: 3115-3775,qnggcj@,2023-11-10,292949,대구,222,---
Unknown,+82 10-3472-5648,4yz2eiz@hanmail.net,6/27/2022,186532,서울,61327,---
Lee James123,01020406132,dh6ze@@hanmail.net,12/18/2021,602,223원,부산,591,Note
 최.영.희 ,010-6912-1902,hg7z4e@naver.com,2020. 6. 6,758634,Jeju,61381,NULL
김철수,01045147444,1ixn2,2020-02-21,약 569천원,대구,973,---
김철수,010-5771-8034,tcsqcl@@com,8/7/2022,약 108천원,대구,21460,---
최.영.희,+82 10-7775-5813,icjebk,2020. 4. 8,8.9257만원,Incheon,84430,Note
홍길동!!,010-9755-6315,jfnb@com,2021-03-15,689116,Daejeon,549,NULL
최.영.희123,Phone: 2350-5714,woq32,2023. 5. 15,21.2071만원,Jeju,10863,Note
박 민수,010 0369 9466,tlgg03@test.co.kr,2022. 3. 11,393801,Jeju,69554,NULL
박 민수,010-7237-7527,gdgfxg@@naver.com,2024. 3. 28,820,604원,Jeju,67334,---
최.영.희,+82 10-8677-2651,zvse3e@,2022-06-17,약 969천원,대구,3141,Note
 Lee James ,+82 10-8570-4467,ebkxyc@hanmail.net,2021. 8. 1,340,446원,Jeju,32200,NULL
박 민수123,010 6835 6059,on38j,5/2/2024,642,604원,Sejong,96675,NULL
김철수,01075397871,i2l5a@naver.com,12/3/2022,457631,서울,450,NULL
 N/A ,+82 10-7279-5515,t9qvdy9,2023. 1. 18,41.3146만원,부산,43318,---
 N/A ,+82 10-6391-8573,3kv8mb@com,2021. 5. 9,76149,서울,76394,NULL
Unknown,01087601403,5gvga7@hanmail.net,2024-03-02,약 884천원,Incheon,131,---
김철수,010 1111 7295,x6ao3g@gmail.com,2021-05-19,360,387원,대구,10191,Note
N/A!!,+82 10-6088-3699,lrtqbl@,10/18/2023,958,276원,Jeju,94822,Note
Lee James123,Phone: 0530-5799,cy59p4@com,2024-07-28,398,838원,Daejeon,569,NULL
N/A,010-5714-6564,p9prz@naver.com,2022. 7. 2,763412,부산,46252,---
김철수,010-4471-3815,bhnjt@,2020-01-06,577937,부산,64919,NULL
 최.영.희 ,Phone: 2473-2975,al9gle@naver.com,2020-03-12,570135,부산,3882,NULL
Unknown,+82 10-4244-1900,ojlt9b,2022. 12. 6,약 934천원,Jeju,299,NULL
박 민수,01007954119,twroe4o@hanmail.net,12/3/2023,993,647원,부산,741,NULL
홍길동,+82 10-2128-1152,q6mxla@test.co.kr,11/18/2021,780987,대구,562,---
최.영.희,010 5612 8085,tlvmfj@com,2020. 12. 13,882046,대구,11832,Note
Unknown,010 4617 9012,8aali@hanmail.net,2020-05-12,155,313원,서울,814,---
김철수123,Phone: 1363-5774,0c65d8@,6/23/2020,약 599천원,Jeju,76859,Note
Lee James,01090022970,zjdywj@,6/23/2020,약 574천원,Jeju,90594,Note
박 민수!!,010-6880-9891,vdbrd@test.co.kr,2020. 4. 21,307,463원,부산,367,NULL
 Lee James ,01064166032,mnrzfp@@hanmail.net,2021-03-14,약 648천원,Incheon,13622,---
Unknown123,Phone: 3234-1045,0zxgfu,2023-04-03,875,285원,대구,141,NULL
N/A,010 0654 7240,rqcn2y,2/21/2022,574700,Gwangju,81054,NULL
Unknown,01077070541,d0m1y,2020-07-23,86953,Incheon,84254,---
박 민수,01001522981,bcy12y@test.co.kr,2024-07-06,267090,부산,36201,Note
홍길동123,010 7488 2999,oc52pn@@gmail.com,11/17/2021,316,015원,Sejong,429,Note
Lee James,Phone: 3338-8456,f35qgo,5/3/2020,약 188천원,서울,12899,---
김철수123,Phone: 1953-5183,y8q06p@com,6/25/2024,약 473천원,Gwangju,985,Note
홍길동,+82 10-2163-4139,j6n2gp@hanmail.net,12/27/2020,51.798만원,Daejeon,259,---
홍길동,01077391257,rkw2y,2024. 2. 20,499,658원,서울,97792,NULL
최.영.희!!,01090862918,m8g1b@,2023. 9. 20,67641,서울,776,NULL
Unknown,01076806394,wy6dl@hanmail.net,1/2/2020,약 83천원,대구,675,---
Unknown!!,Phone: 9573-1006,0yaaig,2020-06-25,575,694원,대구,586,NULL
 최.영.희 ,010 6459 9766,f8rqhq@@naver.com,2022-11-14,552258,Daejeon,68332,NULL
김철수,+82 10-5828-3190,5mdnge@hanmail.net,2022. 4. 26,9828,부산,72348,Note
Lee James,+82 10-4039-9774,36yh5d@@gmail.com,2021-03-16,969652,Daejeon,32144,Note
N/A,+82 10-5227-8730,ppjuqp@gmail.com,8/7/2020,152606,Gwangju,436,Note
김철수,01068287051,i64gxk@naver.com,2021. 8. 20,140,623원,Incheon,456,Note
 N/A ,010 3440 6828,giqx4n,2022-05-05,약 286천원,Daejeon,35745,Note
홍길동123,Phone: 2550-3264,t6amt@naver.com,2020-02-27,약 617천원,Incheon,81174,---
Lee James123,01057171151,dy5fck@com,2021. 11. 19,882560,Sejong,126,---
 홍길동 ,+82 10-3120-4560,imyso3@com,2022. 7. 3,41.8478만원,대구,44511,Note
박 민수!!,010-5292-8096,4miao@@gmail.com,2021-11-22,약 628천원,서울,365,NULL
최.영.희,Phone: 4057-9668,cqb02u@com,2021-05-07,863230,부산,7790,Note
Lee James,010 2830 1222,mbv7oj,12/28/2022,약 815천원,Daejeon,31164,---
홍길동,010 8038 4726,xw35et@naver.com,2021-08-11,548,015원,부산,33043,---
 Lee James ,010 7070 9650,7ujxsp@@com,2/27/2023,494621,서울,527,---
Lee James123,010-6543-7510,y7cobo,2021-08-20,89.9304만원,Gwangju,77927,NULL
 김철수 ,01029311819,cw64fn@com,2022-11-19,245,309원,Gwangju,14133,---
박 민수,+82 10-9178-0122,4nzf6c@@gmail.com,2024. 5. 21,825253,Gwangju,635,---
 김철수 ,010-9215-5084,j2n5jx,2020-12-01,386153,대구,932,---
Unknown123,010 0352 5348,vd2rte@gmail.com,2021-09-06,약 515천원,부산,333,Note
홍길동123,+82 10-4977-8265,snygbp@naver.com,2021. 3. 3,22,536원,Incheon,113,Note
 최.영.희 ,Phone: 6605-6811,igizw,9/28/2024,681,746원,부산,824,---
김철수,010-0375-5191,h0yz9l@naver.com,2020-12-11,69.6681만원,서울,992,Note
홍길동123,010 7351 2786,g0z9dk,2023. 11. 2,277420,Daejeon,10340,---
 최.영.희 ,010 2348 0972,nvxjj@@hanmail.net,2020. 10. 22,249688,Daejeon,196,---
 김철수 ,+82 10-9772-6044,55t4t9@gmail.com,2020-07-18,23.0287만원,Jeju,759,---
 최.영.희 ,Phone: 8480-3283,gwp16g@com,2022. 2. 23,794,673원,Daejeon,52959,Note
김철수,010 9170 4436,63by2@,2020-11-18,206381,대구,37,Note
Lee James,01093569162,l5251i@hanmail.net,7/17/2023,약 127천원,Sejong,67939,NULL
Unknown123,010-4425-3043,w648yg@@hanmail.net,2021-12-01,22.5668만원,Gwangju,627,NULL
Lee James123,010-6362-4801,j1yz2@hanmail.net,2023-02-25,53.1401만원,Gwangju,38071,NULL
 Unknown ,+82 10-5670-7074,wys2y@com,2021-07-05,55.5202만원,Sejong,798,---
N/A,+82 10-5918-3964,w1v7i7@hanmail.net,2021. 7. 26,163,834원,Daejeon,964,NULL
 박 민수 ,+82 10-4082-6151,hb91t@naver.com,4/3/2023,약 742천원,대구,476,---
 Unknown ,01006211909,j9o6x4@,2024. 12. 12,167,155원,서울,286,NULL
홍길동,010 1023 7324,zvx4hm@,8/20/2020,463119,Sejong,935,Note
N/A,010 7996 4103,kumr7e@naver.com,12/10/2022,17183,서울,49245,---
홍길동123,01012703658,uryck@com,6/13/2024,835045,Jeju,69778,---
김철수123,010 4450 1783,dug1a@,2020-11-02,584386,서울,24,---
최.영.희,010-4359-9469,y92pnj@naver.com,2021. 11. 16,819,130원,Jeju,34199,Note
 Lee James ,010 0760 8485,klyh6d@,2021-03-23,392064,Sejong,706,Note
 김철수 ,Phone: 8466-5359,vb0ndy@@hanmail.net,4/5/2020,351,498원,Sejong,348,---
 홍길동 ,010 1412 0147,5mlmrq@@gmail.com,2024. 9. 10,574,120원,대구,59953,NULL
최.영.희,010-2666-5513,m83j3r@naver.com,2021. 12. 6,236,534원,서울,96792,NULL
최.영.희123,+82 10-1074-6360,kh47tq@@,2023. 7. 15,약 324천원,Gwangju,210,NULL
Unknown123,Phone: 9967-8139,4wnzdk@test.co.kr,7/7/2023,11.9233만원,Gwangju,21129,Note
홍길동,01065486207,fpyhoq@hanmail.net,2021. 6. 24,약 587천원,부산,709,NULL
 박 민수 ,+82 10-2086-4882,yp4wb8@gmail.com,2020. 9. 20,239606,부산,51260,---
N/A,010 5142 0970,ymmgpt@,2020. 12. 3,732,505원,Incheon,642,---
Lee James123,01090991041,c6fk4h@naver.com,7/25/2021,826,037원,Jeju,54,---
Lee James,+82 10-9408-8118,nik0yt@hanmail.net,2022-02-10,894170,Sejong,45161,NULL
 Lee James ,01027065752,ewz73b@com,2021-11-19,56.5833만원,대구,86208,Note
최.영.희,010-8885-3817,o5u24u@@naver.com,8/25/2020,95.5985만원,서울,91755,NULL
홍길동,01066789504,wz1x18@,2021. 2. 7,약 894천원,Jeju,82948,---
 김철수 ,010-3082-2180,kmxhta@naver.com,7/7/2024,29.2686만원,부산,73746,NULL
Lee James,01067190671,2eskgk@com,2020-12-08,185299,대구,70485,---
 김철수 ,+82 10-0409-2218,7xalko@gmail.com,6/9/2024,654289,서울,308,---
 최.영.희 ,010 9171 8463,swe2cp,2023-06-04,893,884원,부산,71818,NULL
 Lee James ,01020563332,dmzxj9@com,2022. 1. 14,44.1204만원,Gwangju,837,NULL
Unknown,010 0437 4121,s4tkc@@test.co.kr,2022-03-02,721467,서울,12689,---
Lee James,Phone: 1977-0254,idsz6l@@com,2024. 5. 19,972,036원,부산,297,NULL
Lee James,Phone: 1733-6055,9v47c@naver.com,2020-09-04,약 719천원,Jeju,83844,Note
최.영.희,+82 10-1650-9118,n9j51j@test.co.kr,2/8/2020,371330,Sejong,84,Note
Lee James123,01025343898,m6dhyh@hanmail.net,5/21/2021,약 360천원,Gwangju,23892,Note
홍길동123,+82 10-9150-8961,7gxv3@@naver.com,2024. 9. 14,877943,부산,26,---
N/A123,Phone: 3184-2416,v33a8@hanmail.net,2020. 6. 9,591,949원,부산,66681,Note
김철수123,010 3629 8624,35eq4@@,2020. 8. 9,48.7281만원,Gwangju,216,NULL
Unknown,010 3626 1949,bwp6co@test.co.kr,2022. 10. 21,615,115원,서울,160,---
김철수,010-7568-1611,zycez@@test.co.kr,2022-05-10,약 922천원,Daejeon,572,Note
 박 민수 ,01085957279,njxfakn@@,4/24/2022,317906,Gwangju,152,Note
김철수,+82 10-0875-8211,pfq0x@@naver.com,6/20/2020,394,749원,Daejeon,587,NULL
N/A,Phone: 8666-6102,2a7an,2021. 2. 22,672,576원,대구,266,Note
 Lee James ,01058484836,bjwfrt@@,2020. 6. 23,164,967원,대구,41920,---
홍길동,010-4557-6235,mov5ub@,2/4/2024,506,334원,Incheon,38403,Note
김철수,010 0430 3124,loekkk@naver.com,2024. 3. 16,635,127원,대구,314,Note
Lee James123,01055904577,ehbfj4@gmail.com,2024-02-05,208309,Sejong,370,---
Lee James,010-6972-1805,6pf7th@test.co.kr,2021-08-25,약 401천원,Incheon,237,---
김철수,010 6053 1493,c7wqg9@@test.co.kr,2024-06-05,972131,Incheon,679,---
Unknown123,010-0892-5253,hmarsf@naver.com,2020-07-06,174365,Gwangju,5450,Note
 홍길동 ,+82 10-9932-7196,xmw0y8@@,6/21/2024,963,895원,Jeju,218,NULL
Lee James123,Phone: 9893-2315,zf67l@hanmail.net,8/8/2020,57.3227만원,Incheon,820,---
김철수,01009511136,oi5u4@com,2024. 5. 27,667,657원,Sejong,4645,Note
홍길동,01021879676,936fg7@@,2024-08-11,9,659원,대구,17489,NULL
박 민수,010-0442-1905,sknim@test.co.kr,8/23/2021,544931,Incheon,314,---
최.영.희,Phone: 2112-1769,d7o1do,3/3/2021,208,850원,부산,932,NULL
Lee James123,010-1252-0490,aqpbxc@@,5/14/2021,약 572천원,Sejong,45920,---
 Unknown ,010 9472 4728,8qinw,9/4/2020,919,165원,Gwangju,85370,NULL
Lee James123,010 2601 7959,oo7kup@@,1/21/2020,77.7675만원,Incheon,763,Note
Unknown,010 9469 5512,lywzi7@,2021-01-02,38.931만원,Jeju,80019,NULL
박 민수,+82 10-8923-6635,65ix0h@,5/28/2021,약 893천원,서울,752,---
 Unknown ,+82 10-6754-1605,cuvamj@@hanmail.net,2023-09-20,636,299원,Gwangju,941,---
김철수,010-3453-2343,37a9em@@com,11/27/2022,74,698원,Sejong,67,Note
N/A123,Phone: 4429-1045,hcvyml@com,2024. 7. 12,79.704만원,Gwangju,3188,Note
박 민수,010-3052-9937,qfe8go@com,3/9/2024,약 386천원,서울,79163,NULL
박 민수,+82 10-1837-8421,zx3k9r@test.co.kr,6/22/2023,503079,서울,92167,Note
최.영.희,010 1663 3869,n1mn9k@test.co.kr,9/12/2022,약 218천원,Incheon,208,---
Unknown,Phone: 3565-6354,i86kfl@@test.co.kr,10/21/2022,965,745원,Jeju,793,NULL
 홍길동 ,Phone: 9103-1051,5mq3gf@,8/28/2020,40.3565만원,Daejeon,72886,NULL
최.영.희,Phone: 5139-7167,6m6998@@gmail.com,12/6/2021,약 58천원,대구,348,Note
Lee James,010 9994 1833,e04r7@hanmail.net,2023-11-01,217759,Gwangju,91050,NULL
박 민수,01041187919,huqus2@gmail.com,2022-08-24,668152,서울,83380,Note
홍길동!!,010 8000 9064,vnza@,2022. 11. 25,198063,서울,447,NULL
홍길동,01013288450,czmp8u@com,12/9/2023,820,533원,부산,33358,Note
박 민수,010-9008-8814,lzl1tt@test.co.kr,2024. 4. 26,6.5085만원,Daejeon,375,---
최.영.희123,01005266533,ciuofh@@test.co.kr,2020-02-14,83.9323만원,서울,71859,NULL
최.영.희,+82 10-8888-8544,zf9ca@hanmail.net,6/24/2024,355,033원,대구,60695,Note
 N/A ,+82 10-3041-2791,6ldl9j,2022. 12. 2,약 163천원,Jeju,425,NULL
 Unknown ,010 3056 9475,nmk47n,2020. 11. 20,38.8249만원,Gwangju,57,Note
 N/A ,Phone: 1369-5038,5iuco3@com,2024. 11. 2,12.7409만원,부산,246,Note
홍길동,+82 10-6172-1335,mpcnbdw,2020-06-05,284052,Sejong,38734,---
박 민수123,Phone: 0565-1599,p4213o@test.co.kr,4/23/2021,약 296천원,Daejeon,33951,---
Lee James123,010 6452 3091,0mvor@gmail.com,2022-09-22,962,820원,서울,14788,---
김철수,010-4360-7957,du9bl@test.co.kr,2023. 9. 3,80,386원,대구,285,---
N/A123,+82 10-7489-5848,skgvo8,2024. 8. 24,557,185원,Incheon,96978,Note
홍길동,010 0981 0236,3wpcra@@gmail.com,2022. 7. 6,824,127원,Daejeon,30020,Note
박 민수!!,Phone: 5756-0216,f8u4ho@gmail.com,2022-03-08,13.9551만원,서울,42719,Note
김철수,010 2291 2502,1giwcc,2022. 12. 3,692474,Daejeon,23783,Note
 최.영.희 ,+82 10-7707-5253,bc11uh@com,2020. 10. 23,약 449천원,Jeju,444,Note
Lee James,Phone: 8041-7918,9wytaa@@test.co.kr,2024-11-02,61.4213만원,Daejeon,82636,NULL
최.영.희,010-5585-2128,7fo6ym@hanmail.net,12/12/2024,964,494원,Incheon,2431,NULL
N/A,010 0564 0523,75rm07@com,5/4/2023,약 335천원,서울,29999,---
Unknown123,+82 10-8189-1512,bwyqf@com,2023. 10. 27,약 882천원,Gwangju,12648,---
최.영.희,01090558826,bv6y4g@,2020-12-19,687,106원,부산,6354,NULL
박 민수,+82 10-0558-7592,sbgwzk@@hanmail.net,4/25/2021,457783,Jeju,40110,---
 Lee James ,010-6539-5764,09952q@hanmail.net,8/17/2020,656,524원,Jeju,341,NULL
N/A,010-6703-9944,ryzhtc@com,2024. 10. 28,310831,Incheon,11632,NULL
김철수!!,+82 10-8158-0088,dsrtm@@naver.com,12/1/2024,738362,Sejong,5756,---
Lee James!!,01003081920,4aa76l@@gmail.com,11/24/2022,211490,Gwangju,7882,Note
Unknown,+82 10-2414-9182,a1bke@hanmail.net,2021-08-27,949,109원,Gwangju,857,NULL
Lee James,01029017324,ds3cqq,9/28/2023,525,751원,Sejong,39353,---
박 민수123,010-1170-4820,jukrj@hanmail.net,2020-05-24,약 826천원,Gwangju,94971,---
